epoch,learning_rate,loss,mae,psnr_metric,ssim_metric,val_loss
0,0.0010000000474974513,0.003325385507196188,0.041168179363012314,24.954078674316406,0.7977800965309143,0.0030557923018932343
1,0.0010000000474974513,0.002292557153850794,0.03708947077393532,25.954166412353516,0.8221849799156189,0.0024567297659814358
2,0.0010000000474974513,0.001794951967895031,0.02978372946381569,27.410720825195312,0.8418580889701843,0.001743930159136653
3,0.0010000000474974513,0.0016185779822990298,0.03126024454832077,27.386930465698242,0.8583271503448486,0.001740256673656404
4,0.0010000000474974513,0.001406817464157939,0.024495569989085197,28.9185848236084,0.873705267906189,0.0012278277426958084
5,0.0010000000474974513,0.0010880404151976109,0.023670300841331482,29.20458984375,0.8792336583137512,0.0011561682913452387
6,0.0010000000474974513,0.0010459888726472855,0.02288317307829857,29.478431701660156,0.8843926191329956,0.0010847690282389522
7,0.0010000000474974513,0.0013840224128216505,0.0246285293251276,29.149259567260742,0.8867927193641663,0.0011713978601619601
8,0.0010000000474974513,0.0009797795210033655,0.021629182621836662,29.911052703857422,0.890412449836731,0.0009785782312974334
9,0.0010000000474974513,0.0009933363180607557,0.021340223029255867,30.046274185180664,0.8922626972198486,0.000938702083658427
10,0.0010000000474974513,0.0010783456964418292,0.020807044580578804,30.22732162475586,0.8945939540863037,0.0009057114366441965
11,0.0010000000474974513,0.001064201700501144,0.020557716488838196,30.341068267822266,0.8972319960594177,0.0008872153121046722
12,0.0010000000474974513,0.0008828841964714229,0.020458443090319633,30.399810791015625,0.8990263938903809,0.0008736724848859012
13,0.0010000000474974513,0.0009643128141760826,0.020816311240196228,30.365177154541016,0.901045024394989,0.000886842142790556
14,0.0010000000474974513,0.0010012919083237648,0.02025262638926506,30.535680770874023,0.9021615982055664,0.0008516754023730755
15,0.0010000000474974513,0.001046027522534132,0.02292802184820175,29.885793685913086,0.9013336896896362,0.0009772423654794693
16,0.0010000000474974513,0.000904333486687392,0.01930735819041729,30.823328018188477,0.9046682119369507,0.0008002518443390727
17,0.0010000000474974513,0.0008430361631326377,0.020159482955932617,30.626554489135742,0.905267059803009,0.000842425914015621
18,0.0010000000474974513,0.0008618016727268696,0.019083499908447266,30.92076873779297,0.9063606858253479,0.0007792467949911952
19,0.0010000000474974513,0.0009697102941572666,0.019371289759874344,30.877206802368164,0.908112108707428,0.000803173054009676
20,0.0010000000474974513,0.0007457793108187616,0.01866825856268406,31.077728271484375,0.90882807970047,0.0007657677633687854
21,0.0010000000474974513,0.00067184551153332,0.01952940970659256,30.897438049316406,0.9089027643203735,0.0007927812985144556
22,0.0010000000474974513,0.0008034780621528625,0.01874135434627533,31.11422348022461,0.9109941720962524,0.0007579179364256561
23,0.0010000000474974513,0.0008017371292226017,0.019433578476309776,30.942617416381836,0.9112294912338257,0.0007866138475947082
24,0.0010000000474974513,0.0007148958975449204,0.019334133714437485,30.96110725402832,0.9117266535758972,0.0007689240155741572
25,0.0010000000474974513,0.0006814515218138695,0.01912805065512657,31.023719787597656,0.9125968217849731,0.0007618949748575687
26,0.0010000000474974513,0.0007284866878762841,0.018082832917571068,31.299301147460938,0.9129997491836548,0.00071829988155514
27,0.0010000000474974513,0.0006155518931336701,0.018256982788443565,31.306137084960938,0.912125289440155,0.0007227202877402306
28,0.0010000000474974513,0.0006104613421484828,0.01807487942278385,31.350160598754883,0.9147643446922302,0.0007029393455013633
29,0.0007000000332482159,0.0007076435722410679,0.017542622983455658,31.48393440246582,0.9152740836143494,0.0006939341546967626
30,0.0007000000332482159,0.0007517318008467555,0.017595980316400528,31.414390563964844,0.9150902032852173,0.0007065539248287678
31,0.0007000000332482159,0.0006571132107637823,0.017529495060443878,31.4901180267334,0.915920615196228,0.0006915124831721187
32,0.0007000000332482159,0.0005162055604159832,0.01737816259264946,31.53423309326172,0.9164890646934509,0.0006738534430041909
33,0.0007000000332482159,0.0005336120957508683,0.01742267608642578,31.53132438659668,0.9168098568916321,0.0006746420986019075
34,0.0007000000332482159,0.0005986973992548883,0.017275875434279442,31.55769920349121,0.9171350002288818,0.0006725313141942024
35,0.0007000000332482159,0.0006170525448396802,0.017400726675987244,31.49580192565918,0.9165594577789307,0.0006880040164105594
36,0.0007000000332482159,0.0006655265460722148,0.01765725575387478,31.46211051940918,0.9173815846443176,0.0006912194658070803
37,0.0004900000058114529,0.0006674397736787796,0.017438793554902077,31.554473876953125,0.9183618426322937,0.0006766968290321529
38,0.0004900000058114529,0.0007926853140816092,0.01710488088428974,31.620777130126953,0.9182767271995544,0.0006740010576322675
39,0.0004900000058114529,0.000782310962677002,0.017234334722161293,31.585147857666016,0.9181861281394958,0.0006682433886453509
40,0.0004900000058114529,0.0006045420886948705,0.016954099759459496,31.671241760253906,0.9188758730888367,0.000643738079816103
41,0.0004900000058114529,0.0005735086160711944,0.01700013317167759,31.677413940429688,0.9191678166389465,0.0006516307475976646
42,0.0004900000058114529,0.0006774226203560829,0.01774425059556961,31.47844123840332,0.9193674921989441,0.0006888933712616563
43,0.0004900000058114529,0.0006602750509046018,0.01673235557973385,31.755657196044922,0.9199790358543396,0.0006514661945402622
44,0.0004900000058114529,0.0006728394655510783,0.017456207424402237,31.554607391357422,0.9200288653373718,0.0006823884323239326
45,0.0004900000058114529,0.0005892700864933431,0.016763033345341682,31.74848747253418,0.9205238223075867,0.000661021564155817
46,0.0004900000058114529,0.0005666356300935149,0.01691705733537674,31.706035614013672,0.9204824566841125,0.0006505746277980506
47,0.0004900000058114529,0.0005706636584363878,0.017006173729896545,31.681886672973633,0.9198500514030457,0.0006576696177944541
48,0.0004900000058114529,0.000696460367180407,0.01823868788778782,31.312423706054688,0.9190812706947327,0.0007132237660698593
49,0.0003429999924264848,0.0005975145613774657,0.01703573204576969,31.634531021118164,0.9200956225395203,0.00067505007609725
50,0.0003429999924264848,0.0005169583018869162,0.016860686242580414,31.731002807617188,0.920895516872406,0.0006626594695262611
51,0.0003429999924264848,0.0006152109708636999,0.016878293827176094,31.664968490600586,0.919834315776825,0.000648814719170332
