epoch,learning_rate,loss,loss_distill,loss_gt,mae,psnr_metric,ssim_metric,val_loss,val_loss_distill,val_loss_gt
0,0.0010000000474974513,0.002246406627818942,0.0020667393691837788,0.0023234067484736443,0.11479876935482025,17.28900718688965,0.6364235877990723,0.01483836304396391,0.014644261449575424,0.014921549707651138
1,0.0010000000474974513,0.0015934740658849478,0.0014523295685648918,0.0016539645148441195,0.03314483165740967,26.682754516601562,0.8616040945053101,0.0011769798584282398,0.001033599372021854,0.001238428638316691
2,0.0010000000474974513,0.0012976194266229868,0.0011553582735359669,0.001358588458970189,0.029428057372570038,27.883140563964844,0.8838626742362976,0.0014154379023239017,0.0012680416693910956,0.0014786076499149203
3,0.0010000000474974513,0.0011393585009500384,0.000987582840025425,0.0012044052127748728,0.029009398072957993,27.817157745361328,0.894469141960144,0.0015318664954975247,0.0013598616933450103,0.0016055827727541327
4,0.0010000000474974513,0.0009116384899243712,0.0007757257553748786,0.0009698867797851562,0.029041768983006477,27.82537269592285,0.897617757320404,0.0014741267077624798,0.0013435952132567763,0.0015300686936825514
5,0.0010000000474974513,0.0007824238855391741,0.000640351849142462,0.0008433118928223848,0.029541827738285065,27.706439971923828,0.8999952673912048,0.0016329871723428369,0.001479131169617176,0.0016989255091175437
6,0.0010000000474974513,0.0007078546332195401,0.0005863755359314382,0.0007599170785397291,0.027925798669457436,28.209409713745117,0.9065709114074707,0.0014397858176380396,0.001270808046683669,0.0015122049953788519
7,0.0010000000474974513,0.0006177274626679718,0.0005075135268270969,0.0006649619899690151,0.026674587279558182,28.604034423828125,0.9108554720878601,0.0012824181467294693,0.0011165181640535593,0.0013535181060433388
8,0.0007000000332482159,0.0006137526361271739,0.0005080839619040489,0.000659039244055748,0.024033086374402046,29.499744415283203,0.9108504056930542,0.0009867672342807055,0.0008218199363909662,0.0010574589250609279
9,0.0007000000332482159,0.0005715223378501832,0.0004686610773205757,0.000615605735220015,0.022275442257523537,30.047876358032227,0.9209085702896118,0.0008448039880022407,0.000683555961586535,0.000913910276722163
10,0.0007000000332482159,0.0005549296620301902,0.00045344940735958517,0.0005984212039038539,0.022349951788783073,30.043819427490234,0.9247837662696838,0.0007939112838357687,0.0006304195267148316,0.0008639791049063206
11,0.0007000000332482159,0.0005548574263229966,0.00045168117503635585,0.0005990758072584867,0.021856890991330147,30.22858238220215,0.9275222420692444,0.0007191899931058288,0.0005635090637952089,0.000785910408012569
12,0.0007000000332482159,0.0005192097160033882,0.0004176516958978027,0.0005627346108667552,0.021969527006149292,30.22530174255371,0.9292401671409607,0.0007006628438830376,0.000542022637091577,0.0007686514290980995
13,0.0007000000332482159,0.0005062902346253395,0.0004048464761581272,0.0005497661186382174,0.0218520425260067,30.185991287231445,0.9302613139152527,0.0006345977308228612,0.0004753755347337574,0.0007028357940725982
14,0.0007000000332482159,0.0004994237096980214,0.0003993355785496533,0.0005423185648396611,0.021244483068585396,30.29962730407715,0.9307722449302673,0.0005660987226292491,0.0004085611435584724,0.0006336148362606764
15,0.0007000000332482159,0.0004737580893561244,0.00037361003342084587,0.0005166786722838879,0.02134932205080986,30.200590133666992,0.9305796027183533,0.0005593515816144645,0.0003993221907876432,0.0006279356312006712
16,0.0007000000332482159,0.00047355686547234654,0.0003751403419300914,0.0005157353589311242,0.020573919638991356,30.390621185302734,0.93197101354599,0.0005211823154240847,0.0003624590754043311,0.0005892065819352865
17,0.0007000000332482159,0.000474177417345345,0.0003774133510887623,0.0005156476981937885,0.02032565511763096,30.49462127685547,0.9335877895355225,0.0005187958013266325,0.00036176620051264763,0.0005860942183062434
18,0.0007000000332482159,0.00047076097689568996,0.000373823189875111,0.0005123057635501027,0.019984804093837738,30.594276428222656,0.9344701766967773,0.0005104392766952515,0.0003509859670884907,0.0005787764093838632
19,0.0007000000332482159,0.00046177642070688307,0.0003643454983830452,0.0005035325302742422,0.020158572122454643,30.487173080444336,0.9335501790046692,0.0005090443883091211,0.0003466058406047523,0.00057866086717695
20,0.0007000000332482159,0.00044684018939733505,0.00035012466832995415,0.0004882896901108325,0.01964307762682438,30.689878463745117,0.9355709552764893,0.0005026032449677587,0.00034103807411156595,0.0005718455067835748
