epoch,learning_rate,loss,mae,psnr_metric,ssim_metric,val_loss,val_mae,val_psnr_metric,val_ssim_metric
0,0.0010000000474974513,0.006618007551878691,0.0477265790104866,25.21391487121582,0.8106653094291687,0.0019761458970606327,0.031052272766828537,27.358922958374023,0.8574644327163696
1,0.0010000000474974513,0.0015819261316210032,0.02677600271999836,28.39438819885254,0.8696858286857605,0.0013703358126804233,0.025859609246253967,28.96576499938965,0.888741135597229
2,0.0010000000474974513,0.0009909799555316567,0.020624956116080284,30.557920455932617,0.9072777032852173,0.0008826950797811151,0.018657896667718887,31.06940460205078,0.9155679941177368
3,0.0010000000474974513,0.0008023670525290072,0.01797211542725563,31.521690368652344,0.9214279055595398,0.0007733062957413495,0.01721237227320671,31.70551872253418,0.9259635806083679
4,0.0010000000474974513,0.0007436027517542243,0.017371423542499542,31.86183738708496,0.927841305732727,0.0008009566809050739,0.01822698675096035,31.468791961669922,0.92856764793396
5,0.0010000000474974513,0.0006796715897507966,0.01642274670302868,32.26190948486328,0.9325108528137207,0.0006893112440593541,0.016100043430924416,32.23758316040039,0.931571364402771
6,0.0010000000474974513,0.0006869781063869596,0.016684846952557564,32.276241302490234,0.934565007686615,0.0006342096603475511,0.01518952939659357,32.65519714355469,0.937492847442627
7,0.0010000000474974513,0.0005876444047316909,0.015040203928947449,32.882205963134766,0.9380635023117065,0.0006293758633546531,0.015360359102487564,32.65831756591797,0.9392502307891846
8,0.0010000000474974513,0.0005835730698890984,0.015256733633577824,32.89116668701172,0.9396762251853943,0.000598602113313973,0.014759263955056667,32.913326263427734,0.9408392906188965
9,0.0010000000474974513,0.0006197250913828611,0.015841161832213402,32.77623748779297,0.9397382736206055,0.0005906637525185943,0.014565893448889256,32.976444244384766,0.9408106803894043
10,0.0010000000474974513,0.0005357825430110097,0.014616014435887337,33.24367141723633,0.9428698420524597,0.0005838668439537287,0.014348943717777729,33.06425476074219,0.9420703649520874
11,0.0010000000474974513,0.000519486318808049,0.014355969615280628,33.394596099853516,0.944036602973938,0.0005762950167991221,0.014235156588256359,33.132057189941406,0.9430476427078247
12,0.0010000000474974513,0.0005052729975432158,0.014278300106525421,33.47834777832031,0.9453175663948059,0.0005656720022670925,0.013788755051791668,33.23920440673828,0.9429500699043274
13,0.0010000000474974513,0.00048423095722682774,0.01388933602720499,33.661800384521484,0.9461266994476318,0.0005673890118487179,0.01400210801512003,33.20547103881836,0.9433476328849792
14,0.0010000000474974513,0.000477234716527164,0.013839573599398136,33.71914291381836,0.9467704892158508,0.0005905216676183045,0.014660817570984364,33.01528549194336,0.942651093006134
15,0.0007000000332482159,0.00043576405732892454,0.012821746058762074,34.138736724853516,0.9483033418655396,0.000543316185940057,0.01330809947103262,33.46330642700195,0.9455240964889526
16,0.0007000000332482159,0.00041936710476875305,0.012685014866292477,34.28938293457031,0.9496541023254395,0.000575857877265662,0.014320360496640205,33.10416793823242,0.9447711706161499
17,0.0007000000332482159,0.0004140087403357029,0.012788679450750351,34.33076095581055,0.9505837559700012,0.0005651850951835513,0.013779319822788239,33.254493713378906,0.9450979828834534
18,0.0007000000332482159,0.0004075895412825048,0.012798379175364971,34.385650634765625,0.9513176083564758,0.0006040791631676257,0.014851091429591179,32.89856719970703,0.943532407283783
19,0.0007000000332482159,0.0003969405952375382,0.012578912079334259,34.508609771728516,0.9519000053405762,0.0006945561617612839,0.01745619997382164,32.17963409423828,0.9444413185119629
20,0.0007000000332482159,0.00040943868225440383,0.01302696019411087,34.35215759277344,0.9519349932670593,0.0005400271620601416,0.013113138265907764,33.50767135620117,0.9451366066932678
21,0.0007000000332482159,0.0003861743025481701,0.012373787350952625,34.63270568847656,0.9526564478874207,0.0005569362547248602,0.013198531232774258,33.378787994384766,0.9448826313018799
22,0.0007000000332482159,0.0003843134909402579,0.012409493327140808,34.65117645263672,0.9530049562454224,0.0005548735498450696,0.013411774300038815,33.38058090209961,0.9459646940231323
23,0.0004900000058114529,0.0003647161356639117,0.011895839124917984,34.90452575683594,0.9537715315818787,0.0005435030907392502,0.012856176123023033,33.53188705444336,0.946808934211731
24,0.0004900000058114529,0.00035791832488030195,0.011867370456457138,34.97969436645508,0.9543604850769043,0.0005920224357396364,0.014450290240347385,33.051265716552734,0.9458338022232056
